N1,A,N2,N3,B,N4,N5,C
0.1614995436297929,s,0.7474392819890425,0.27417333764900065,eu,0.4688297253450102,0.47151617544169244,dqn
0.02877878491744046,k,0.08690455505164962,0.9686676945797278,hl,0.35232681367857166,0.619425138164454,klu
0.332261230765881,j,0.6064983353013526,0.6705184084897647,zm,0.6863653143533195,0.13234240879094894,rpw
0.4658352335474907,a,0.11533101829094594,0.49782779758756945,ra,0.9288830457491547,0.22851454653142156,hoe
0.10817939354120809,v,0.7545490780460936,0.0181175126581945,op,0.1832562535986253,0.7729255610547122,ktr
0.8675491347269318,l,0.038319289288197944,0.5017470136352701,up,0.006950825291645479,0.9278116231993008,zhc
0.2550542800640103,z,0.14891353344434544,0.32087906857916215,ju,0.47480757148221586,0.9407318488475185,hxx
0.9241508057634611,j,0.647522549370935,0.7761835497595727,cg,0.16111345835218982,0.0855988542257834,ttx
0.20535168580574004,f,0.36989159740484145,0.24737432733674114,vh,0.7552071789149726,0.3681174529285819,pcz
0.013337018857272454,j,0.6802083653690102,0.9487188868443546,po,0.3439148885499842,0.13605499049253422,inh
0.8089629491062738,f,0.6655087255018665,0.6143420569583128,po,0.8320015691552761,0.806421500376391,mzs
0.3453613457510336,n,0.17377267913411432,0.04807306316833215,ss,0.6144127700405461,0.6340481656468918,jvm
0.5821740120771993,o,0.5016290446011673,0.4009231894224623,nj,0.5326690994492287,0.6718922297057971,jug
0.47805842544689037,q,0.8001404508883785,0.4851726512926402,fq,0.09604911036608277,0.55401953313857,khi
0.4388020673189228,f,0.19926153251463952,0.8689596248400018,ad,0.6975919393685803,0.06079641066091246,nmo
0.670844624696128,k,0.6128856919235371,0.7117104361835481,gu,0.1651032332396265,0.06048216955919605,iuv
0.3984958037996418,q,0.5415626586252907,0.003422960779091655,po,0.3745492719835313,0.5100949917487816,dtx
0.18342879436221837,l,0.04631675456127127,0.030741579576737288,tp,0.32603080055225986,0.9678005966000017,dtv
0.26365710744866133,s,0.9943858671422716,0.45561601652353967,ru,0.8265842358542814,0.4868858987779099,vpl
0.5980689928078077,z,0.6609290052582671,0.33942163545233894,nu,0.21533508077362196,0.0010644507658137403,ykl
0.8797150527621246,i,0.5644964927069382,0.903294415554464,yb,0.834198145306418,0.5752728944491364,cxz
0.2580164392646924,l,0.23012489988083895,0.7185901592004615,au,0.519432294309057,0.38675144136812856,ufw
0.4710404325266285,c,0.7026239531265606,0.722581352032289,vk,0.6831008926831953,0.3256883324259079,qln
0.283803216746113,g,0.3181074524525124,0.9588061667826293,lh,0.6582316137639207,0.627399226601497,ezf
0.5821740120771993,o,0.5016290446011673,0.4009231894224623,nj,0.5326690994492287,0.6718922297057971,jug
